Gesetz|Artikel|Absatz|Text
VRV|6|4|Unbegleiteten blinde Vortritt stets gewähren Hochhalten weiss Stock anzeigen Fahrbahn überqueren
VRV|6|5|Führer dürfen gekennzeichnet Schulbus halten Warnblinklichter eingeschaltet Art . 23 Abs . 3 Bst . a langsam besonders vorsichtig überholen nötigenfalls müssen halten
VRV|8|1|Strasse mehrere Fahrstreifen gleich Richtung äusserst Streifen rechts benützen gelten überholen Einspur fahren parallel Kolonne sowie innerorts
VRV|8|2|fahren parallel Kolonne dicht Verkehr gestatten rechter Fahrbahnhälfte dafür genügend Raum bieten langsam Fahrzeug äusser Kolonne rechts fahren
VRV|8|3|fahren parallel Kolonne sowie innerorts Strasse mehrere Fahrstreifen gleich Richtung Rechtsvorbeifahren Fahrzeug gestatten sofern halten Fussgänger Benützer fahrzeugähnlich Gerät Vortritt lassen.68 Rechtsüberholen ausschwenken Wiedereinbiegen jedoch untersagt.6
VRV|8|4|benützen mehrspurig Motorfahrzeug Radfahrer Fahrstreifen müssen Motorfahrzeug links Radfahrer rechts fahren Radfahrer Gebot Rechtsfahren abweichen a. Fahrstreifen Linksabbiegen gestatten b. Rechtsabbiegestreifen Fahrrad gemäss Markierung Art . 74a Abs . 7 Bst . e SSV70 entgegen allgemein Verkehr geradeaus fahren dürfen
VRV|8|5|Strasse mehrere Fahrstreifen Richtung durchgehend befahren Fahrstreifen möglich enden Fahrstreifen unmittelbar Beginn Verengung Weiterfahren gehindert Fahrzeug abwechslungsweise Übergang benachbart Fahrstreifen ermöglichen
VRV|9|1|Fahrzeugführer Gegenverkehr Vortritt lassen Kreuzen Hindernis Fahrbahnhälfte erschweren
VRV|9|2|schmal Strasse Kreuzen möglich Anhängerzug Vortritt Fahrzeug schwer Motorfahrzeug leicht Gesellschaftswagen Lastwagen.73 gleichartig Fahrzeug zurückfahren nah Ausweichstelle befinden Kreuzen steil Strasse Bergstrasse gelten Artikel 38 Absatz 1 erster Satz
VRV|10|1|Fahrzeugführer überholen vorsichtig ausschwenken * dürfen nachfolgend Fahrzeug behindern dürfen überholen voranfahrend Fahrzeug Hindernis befinden Baustelle eingespurt Fahrzeug Fussgänger Strasse überqueren
VRV|10|2|überholen Fahrzeugführer einbiegen sobald überholt Strassenbenützer Gefahr mehr bestehen
